segment,audio,model,human_ref,model_output,standard_wer,lattice_wer,improvement,helped,n_corrections
4,ing_audio_for_josh/bcmk_TR/hindi/ch_292958_499.83_502.32.wav,model_k,आने वाली चुनौतियों  का इंतजार करना,आने वाली चुनौतियों का इंतजार करना?,0.0,0.0,0.0,False,0
4,ing_audio_for_josh/bcmk_TR/hindi/ch_292958_499.83_502.32.wav,model_l,आने वाली चुनौतियों  का इंतजार करना,आने वाली चुनौतियों का इंतजार करना,0.0,0.0,0.0,False,0
4,ing_audio_for_josh/bcmk_TR/hindi/ch_292958_499.83_502.32.wav,model_m,आने वाली चुनौतियों  का इंतजार करना,आने वाली चुनौतियों का इंतजार करना,0.0,0.0,0.0,False,0
4,ing_audio_for_josh/bcmk_TR/hindi/ch_292958_499.83_502.32.wav,model_n,आने वाली चुनौतियों  का इंतजार करना,आने वाली चुनौतियों का इंतजार करना,0.0,0.0,0.0,False,0
5,ting_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,model_H,अचानक आई मुश्किलों का सामना करना,अचानक आई मुश्किलों का सामना करना,0.0,0.0,0.0,False,0
5,ting_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,model_i,अचानक आई मुश्किलों का सामना करना,अचानक आई मुश्किलों का सामना करना,0.0,0.0,0.0,False,0
5,ting_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,model_k,अचानक आई मुश्किलों का सामना करना,अचानक आई मुश्किलों का सामना करना।,0.0,0.0,0.0,False,0
5,ting_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,model_l,अचानक आई मुश्किलों का सामना करना,अचानक आई मुश्किलों का सामना करना,0.0,0.0,0.0,False,0
5,ting_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,model_m,अचानक आई मुश्किलों का सामना करना,अچانक आی مुश्कلوں का सاमنा करنा,0.8333,0.0,0.8333,True,0
5,ting_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,model_n,अचानक आई मुश्किलों का सामना करना,अचानक आई मुश्किलों का सामना करना है,0.1667,0.1667,0.0,False,0
6,ing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,model_H,सर आपकी इच्छा जय सियाराम,सर आपकी इच्छा जय श्री आराम,0.4,0.2,0.2,True,0
6,ing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,model_i,सर आपकी इच्छा जय सियाराम,सर आपकी इच्छा जय सियाराम,0.0,0.0,0.0,False,0
6,ing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,model_k,सर आपकी इच्छा जय सियाराम,sir आपकी इच्छा। जय सिया राम!,0.6,0.2,0.4,True,0
6,ing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,model_l,सर आपकी इच्छा जय सियाराम,सर आपकी इच्छा जय शिय राम,0.4,0.2,0.2,True,0
6,ing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,model_m,सर आपकी इच्छा जय सियाराम,सर आपकी इच्छा जैसी आराम,0.4,0.0,0.4,True,0
6,ing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,model_n,सर आपकी इच्छा जय सियाराम,सर आपकी इच्छा जय सी आराम,0.4,0.2,0.2,True,0
7,g_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,model_H,जी फीडबैक मिलने  पर सुधार करना,जी फीडबैक मिलने पर सुधार करना,0.0,0.0,0.0,False,0
7,g_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,model_i,जी फीडबैक मिलने  पर सुधार करना,जी फीडबैक मिलने पर सुधार करना,0.0,0.0,0.0,False,0
7,g_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,model_k,जी फीडबैक मिलने  पर सुधार करना,जी feedback मिलने पर सुधार करना।,0.1667,0.0,0.1667,True,0
7,g_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,model_l,जी फीडबैक मिलने  पर सुधार करना,ज फिडबऐक मिलने पर सुधार करना,0.3333,0.0,0.3333,True,0
7,g_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,model_m,जी फीडबैक मिलने  पर सुधार करना,जी फीडबैक मिलने पर सुधार करना,0.0,0.0,0.0,False,0
7,g_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,model_n,जी फीडबैक मिलने  पर सुधार करना,फीडबैक मिलने पर सुधार करना,0.1667,0.1667,0.0,False,0
8,ing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,model_H,जो एक महत्वपूर्ण भूमिका निभाते हैं,जो एक महत्वपूर्ण भूमिका निभाते हैं,0.0,0.0,0.0,False,0
8,ing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,model_i,जो एक महत्वपूर्ण भूमिका निभाते हैं,जो एक महत्वपूर्ण भूमिका निभाते हैं।,0.0,0.0,0.0,False,0
8,ing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,model_k,जो एक महत्वपूर्ण भूमिका निभाते हैं,जो एक महत्वपूर्ण भूमिका निभाते हैं।,0.0,0.0,0.0,False,0
8,ing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,model_l,जो एक महत्वपूर्ण भूमिका निभाते हैं,जो एक महत्वपूर्ण भूमिका निभाते हैं,0.0,0.0,0.0,False,0
8,ing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,model_m,जो एक महत्वपूर्ण भूमिका निभाते हैं,जो एक मह्त्वपूर्ण भूमिका निभाते हैं,0.1667,0.0,0.1667,True,0
8,ing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,model_n,जो एक महत्वपूर्ण भूमिका निभाते हैं,जो एक महत्वपूर्ण भूमिका निभाते हैं,0.0,0.0,0.0,False,0
9,sting_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,model_H,जीवन की चुनौतियों का सामना करना,जीवन की चुनौतियों का सामना करना,0.0,0.0,0.0,False,0
9,sting_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,model_i,जीवन की चुनौतियों का सामना करना,जीवन की चुनौतियों का सामना करना।,0.0,0.0,0.0,False,0
9,sting_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,model_k,जीवन की चुनौतियों का सामना करना,जीवन की चुनौतियों का सामना करना।,0.0,0.0,0.0,False,0
9,sting_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,model_l,जीवन की चुनौतियों का सामना करना,जीवन की चुनौतियों का सामना करना,0.0,0.0,0.0,False,0
9,sting_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,model_m,जीवन की चुनौतियों का सामना करना,जीवन की चुनौतियों का सामना करना,0.0,0.0,0.0,False,0
9,sting_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,model_n,जीवन की चुनौतियों का सामना करना,जीवन की चुनौतियों का सामना करना,0.0,0.0,0.0,False,0
10,ing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,model_H,हम्म बहुत प्योर हार्ट रहता है सबका,बहुत प्योर हार्ट रहता है सबका,0.1429,0.1429,0.0,False,1
10,ing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,model_i,हम्म बहुत प्योर हार्ट रहता है सबका,हम्म बहुत प्योर हार्ट रहता है सबका।,0.0,0.0,0.0,False,1
10,ing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,model_k,हम्म बहुत प्योर हार्ट रहता है सबका,बहुत pure heart रहता है सबका।,0.4286,0.1429,0.2857,True,1
10,ing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,model_l,हम्म बहुत प्योर हार्ट रहता है सबका,बहुत पूरे हार्ट रहता है सबका,0.2857,0.1429,0.1429,True,1
10,ing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,model_m,हम्म बहुत प्योर हार्ट रहता है सबका,बहुत प्योर हाट रहता है सबका,0.2857,0.1429,0.1429,True,1
10,ing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,model_n,हम्म बहुत प्योर हार्ट रहता है सबका,बहुत प्योर हार्ट रहता है सबका,0.1429,0.1429,0.0,False,1
11,ting_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,model_H,पूजा और प्रार्थना में  शामिल होना,पूजा और प्रार्थना में शामिल होना,0.0,0.0,0.0,False,0
11,ting_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,model_i,पूजा और प्रार्थना में  शामिल होना,पूजा और प्रार्थना में शामिल होना,0.0,0.0,0.0,False,0
11,ting_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,model_k,पूजा और प्रार्थना में  शामिल होना,पूजा और प्रार्थना में शामिल होना?,0.0,0.0,0.0,False,0
11,ting_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,model_l,पूजा और प्रार्थना में  शामिल होना,पूजा और प्रार्थना में शामिल होना,0.0,0.0,0.0,False,0
11,ting_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,model_m,पूजा और प्रार्थना में  शामिल होना,पूजा और पर्यार्थना में शामिल होना,0.1667,0.0,0.1667,True,0
11,ting_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,model_n,पूजा और प्रार्थना में  शामिल होना,पूजा और प्रार्थना में शामिल होना,0.0,0.0,0.0,False,0
12,ng_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,model_H,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भ,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भ,0.0,0.0,0.0,False,0
12,ng_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,model_i,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भ,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भ,0.0,0.0,0.0,False,0
12,ng_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,model_k,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भ,"डिश बनाते हैं, वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना। अपन",0.0,0.0,0.0,False,0
12,ng_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,model_l,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भ,दिश बनाते है वो ट्रेडिशनल दिशेस बनाते है तो कुछ कुछ अपन भी वैसे ही है ना अपन भी ,0.0465,0.0,0.0465,True,0
12,ng_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,model_m,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भ,डिश बनाते हैं वो ट्रेडिशनल डिशस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी,0.093,0.0233,0.0698,True,0
12,ng_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,model_n,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भ,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भ,0.0233,0.0233,0.0,False,0
13,ng_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,model_H,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर ,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर ,0.093,0.0,0.093,True,1
13,ng_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,model_i,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर ,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर ,0.0,0.0,0.0,False,1
13,ng_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,model_k,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर ,"जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए, बाद में दौड़ भी नहीं पा रहे और शरीर",0.0465,0.0,0.0465,True,1
13,ng_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,model_l,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर ,जी ऐसा ना हो की उन्होंने तिइड कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर ,0.1163,0.0,0.1163,True,1
13,ng_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,model_m,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर ,जी ऐसा ना हो कि उन्होंने टाइड कपड़े पहने लिए बाद में धोड़ भी नहीं पा रहे शरीर मे,0.1628,0.0233,0.1395,True,1
13,ng_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,model_n,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर ,जी ऐसा ना हो की उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी नहीं पा रहे और शरीर ,0.1395,0.0233,0.1163,True,1
14,ng_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,model_H,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थ,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थ,0.0,0.0,0.0,False,1
14,ng_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,model_i,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थ,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थ,0.0,0.0,0.0,False,1
14,ng_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,model_k,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थ,"पहले सब्जी मार्केट तक जाना था, सब ऐसे ही जाते थे। कौन सा वही बात है, कौन सा देते",0.027,0.0,0.027,True,1
14,ng_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,model_l,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थ,पहले सब्जी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे,0.0541,0.0,0.0541,True,1
14,ng_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,model_m,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थ,पहले सब्जी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे,0.1081,0.0,0.1081,True,1
14,ng_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,model_n,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थ,पहले सब्जी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही बात है कौन सा देते थे,0.0541,0.0,0.0541,True,1
15,ng_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,model_H,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करन,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब नरेशा नहीं क,0.0455,0.0,0.0455,True,0
15,ng_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,model_i,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करन,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करन,0.0,0.0,0.0,False,0
15,ng_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,model_k,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करन,"जब जैसे-जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए, उस समय और ऐसा नहीं कर",0.0455,0.0,0.0455,True,0
15,ng_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,model_l,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करन,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहव किए उस समय आब नऐसा नहीं करन,0.1364,0.0,0.1364,True,0
15,ng_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,model_m,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करन,जब जैसे-जैसे समझदारी आती है कि हम उनके साथ कैसा विहब किए उस सम आर नैसा नहीं करना,0.1818,0.0,0.1818,True,0
15,ng_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,model_n,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस समय अब ऐसा नहीं करन,जब जैसे-जैसे समझदारी आती है कि हम उनके साथ कैसा विहब किए उस समय अब नैसा नहीं करन,0.0909,0.0,0.0909,True,0
16,ting_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,model_H,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना,0.0222,0.0,0.0222,True,21
16,ting_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,model_i,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना,0.0,0.0,0.0,False,21
16,ting_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,model_k,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना,"बंद हो जाता है तो इन सबसे, इन सबका एक ही उपाय होता है। कई अन्य जगह पर घूमने जाना",0.0889,0.0444,0.0444,True,21
16,ting_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,model_l,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना,बंद हो जाता है तो इन सबसे इन सबका एक ही उपाय होता है कहीं अन्य जगह पर घूमने जाना,0.1333,0.0444,0.0889,True,21
16,ting_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,model_m,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना,बंद हो जाता है तो इन सबसे इन सबका एक ही उपाय होता है कई अन्य जगह पर घूमने जाना य,0.1111,0.0444,0.0667,True,21
16,ting_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,model_n,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन्य जगह पर घूमने जाना,बंद हो जाता है तो इन सबसे इन सबका एक ही उपाय होता है कई अन्य जगह पर घूमने जाना य,0.0889,0.0444,0.0444,True,21
17,ting_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,model_H,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फ,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फ,0.0,0.0,0.0,False,0
17,ting_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,model_i,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फ,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फ,0.0,0.0,0.0,False,0
17,ting_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,model_k,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फ,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं। अ मूर्ति को थोड़ा स,0.0889,0.0,0.0889,True,0
17,ting_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,model_l,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फ,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फ,0.0,0.0,0.0,False,0
17,ting_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,model_m,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फ,एक दिन पहले या उसी दिन चथुरती के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फे,0.1556,0.0667,0.0889,True,0
