clip_path,text,recording_id,duration
data\processed\clips\clip_000039.wav,जी जी जी तो मैं बता रहा हूँ न तो हम हम लोग गए थे अह्ह्ह तो वो मतलब बिहार ओर भारत के मतलब भारत ओर गुरु उसके बॉर्डर पे था तो हम लोग जब कैंपिंग करने गए थे अह्ह् कैंपिंग करने गये तो हम लोगो ने मतलब ऐसे घूमने की घूमने की अहह मतलब हम जंगल घूमने गए थे,825727,14.88
data\processed\clips\clip_002115.wav,हूं,243702,2.22
data\processed\clips\clip_002035.wav,"चीजें आसानी से मिल जाती थी ,लेकिन यह चीज मुझे मतलब अभी भी याद आती है ,कि जब हमारे पास दो रुपए होते थे एक रुपए होता था पांच रुपए होते थे तो उनको संभाल कर रखते थे और जब अ त्योंहार आते थे या फिर कुछ भी तो उन्हें हम खर्च करते थे या फिर दो रुपए मिलते थे तो उनको बड़े उत्साह के साथ।",269794,14.67
data\processed\clips\clip_002221.wav,हम इसी तरह देख रहे थे एक ऊर्फी जावेद है जो की अलगअलग अपनी फैशनों का मायने रख के ऊ अलग अलग मतलब कबाड़ से मतलब जूट के बोरे को काटकर वो अपने घर को सजाई थी जूट के बोरे से,630221,13.02
data\processed\clips\clip_001156.wav,हाॅं हाॅं हाॅं हाॅं हाॅं सही बात है गलती मतलब गलती पता चलेगी आपको हाॅं जी बताइये,886193,12.51
data\processed\clips\clip_001456.wav,जी,739630,4.02
data\processed\clips\clip_000683.wav,तो क्या होता है उसे व्हाइटनर में नशे की चीज होती है,990783,3.18
data\processed\clips\clip_004401.wav,आप इससे सहमत हो,753435,3.15
data\processed\clips\clip_003919.wav,हां अभी भी क्रिकेट ही पसंद है क्योंकि मतलब देखिए कुछ चीजें होता है न जो रिप्लेसेबल होता है और एक बार जिस जो चीज में मन बस जाए न वो चीज से मन हटना बहुत मुश्किल है तो,857737,12.36
data\processed\clips\clip_002227.wav,हांजी बिल्कुल उम,630926,3.18
data\processed\clips\clip_001577.wav,इसके अलावा अ थिंक एंड ग्रो रिच एक अ थिंक एंड ग्रो रिच एक किताब है रिच डेड पूअर डेड एक किताब है तो ये सेल्फ हेल्प बुक है.,282447,10.71
data\processed\clips\clip_002203.wav,हां गुलदस्ता जो बनाते हैं वहीं ना,630221,5.07
data\processed\clips\clip_004479.wav,"साइड तो उसका पेंट फट जाता है, तो पूरा तो नहीं फटता है, लेकिन थोड़ा बाद जैसे होता है न, छेद हो जाता है, तो वो दिन हमें आ गया हमने मिलता है",1021370,11.49
data\processed\clips\clip_001079.wav,पहले ऐसे पैदल रूम पर आता हूं रूम पर आने के बाद फिर मै थोड़ी देर रेस्ट लेता हूं एक घंटे का फिर उसके बाद फिर फोन चलाता हूं उसके बाद अ अ हाथ पैर धोता हूं थोड़ा उसके बाद अ खाना वाना बनाने की तैयारी करता हूं।,767869,14.58
data\processed\clips\clip_000704.wav,हां हां हां हां हां,990783,5.04
data\processed\clips\clip_001899.wav,थोड़ा चीनी दीजिए गा ऐसे,239492,3.18
data\processed\clips\clip_004263.wav,और आपने कॉलेज में कितने फ्रेंड बनाए अपने नए फ्रेंड्स.,319105,4.05
data\processed\clips\clip_003313.wav,हां हां हम्म,305308,3.63
data\processed\clips\clip_000225.wav,ठीक है जी आपसे बात करके अच्छा लगा,494019,5.64
data\processed\clips\clip_000126.wav,ओके और फिर नेक्स्ट टॉपिक के बारे में बात करते हैं,526266,4.65
data\processed\clips\clip_000551.wav,आ आप स्टार्ट कर रहे कुछ बता कुछ बताइए अपने,989901,6.75
data\processed\clips\clip_001021.wav,अवेलेबल है जी सर,255381,1.26
data\processed\clips\clip_003530.wav,और,663529,2.58
data\processed\clips\clip_001161.wav,हां बिल्कुल सही बोले आपने,886193,1.5
data\processed\clips\clip_002781.wav,बैसबल हो गया बस पिकलारिड बस बासकेट बोल हो गया चीसा यस,302506,10.08
data\processed\clips\clip_001637.wav,जी जी . जी जी .हाँजी हाँजी ।,270296,4.59
data\processed\clips\clip_000119.wav,"इन दोनों का कम्पेयर करें आप, कौन से सीन में आपको दुख लगा, कौन से सीन में खुशी लगा, उन दोनों का कंपेयर करें",526266,9.93
data\processed\clips\clip_000595.wav,हाँ हाँ,989901,1.08
data\processed\clips\clip_000394.wav,जी जी आपने बहुत ही बढ़िया तरीके से बताएं कि शादी का तैयारियां कैसे किया जाता है,351501,6.75
data\processed\clips\clip_004369.wav,यस सर,754618,2.67
data\processed\clips\clip_002320.wav,बिल्कुल भाई कर भी क्या सकता है।,583552,2.7
data\processed\clips\clip_003611.wav,कॉमिक्स में बहुत ज्यादा पढ़ा करता था जैसे बैटमैन हो गया मेरा फेवरेट मतलब पसंदीदा किरदार मेरा बैटमैन है मेरा ज्यादातर बैटमैन की हो गई सुपरमैन की हो गई थोड़ा मार्वेल मे आयरनमैन आयरनमैन वगैरह है ना इन सब की कॉमिक्स वगैरह थोड़ा,583533,14.16
data\processed\clips\clip_001036.wav,नाश्ता करने के बाद थोड़ा सा थोड़ी देर क्या है आधा एक घंटा अपने मन को बहलाने के लिए मोबाइल फोन का उपयोग करता हूँ फिर मैं दो घंटे के लिए एक टाइम सेट करके अपना पढ़ाई करने बैठ जाता हूँ उसके बाद थोड़ा सा मैं बाहर घूमने चला जाता हुं,767685,14.85
data\processed\clips\clip_003493.wav,ह्म्म ह्म्म ह्म्म अगला टॉपिक यह है परिवार को अपडेट देना,781268,12.75
data\processed\clips\clip_003316.wav,हां टीचर जब शामिल हो जाते है तो मजा आने लगता हैं बोहोत,305308,3.6
data\processed\clips\clip_001381.wav,जी जी सर।,738845,5.46
data\processed\clips\clip_004600.wav,कुछ भी बहस कुछ कहेंगी डांट वगैरा लगा सकती है किसने किया किसने नहीं किया लेकिन वो लड़का जो वही जो उसको ले के आया था पानी पिलाने के लिए जिसने उसको मदद की थी वो वही खड़ा रहा सारी बात उसने सब को बता दी ऐसे ऐसे हुआ है इसने ये चीज की,1020918,13.35
data\processed\clips\clip_003991.wav,जी संतुलन मनाना हार्ड है इसके बाद भी सब मेन साइकल चलाना है कुछ गाड़ी चलाना तो उसमें संतुलन बनाना पड़ेगा,301080,14.19
data\processed\clips\clip_000007.wav,ऐसा ही बात था तो पता है रात को मतलब जैसे छः सात आठ किलोमीटर में नौ बजे है नौ उसके बाद लेकिन शांति लेकिन सुकुन बहुत मिला और जैसे सुबह हुआ ना जैसे घर में तो सुबह उठते हैं तो ये काम करो वो काम करो तो,825780,14.1
data\processed\clips\clip_004603.wav,"और वो उसको लेके गया , चुप रहने वाले लड़के ने अगले कुछ दिनों में मतलब वो सबकी नजरों में ऊपर आ गया , चुप रहने वाला बंदा और ऐसा भी हो सकता है मतलब उसने दयालु तक की कीमत हमको समझा दी.",1020918,13.98
data\processed\clips\clip_000417.wav,मामा का लड़का का शादी है वो भी तो रिश्तेदार में ही आया तो ना रिश्तेदारों के साथ उसके घर में जो कुछ भी है पैसे का मेंनटेन करना कपड़े का मेंनटेन करना खाने पीने का मेंनटेन करना,351501,14.67
data\processed\clips\clip_000337.wav,जी जी जी तो मैं भी अपना वो बता रही थी आपको जैसे हम गए थे भोजपूर का तो मैंने आपको बता दिया भीमबेडकर का मैं बताती हूं भोपाल में ही है,254219,11.91
data\processed\clips\clip_004651.wav,हां हम्म हम्म,840793,3.75
data\processed\clips\clip_004573.wav,हम एक काम करें स्कूल की घंटी पांच मिनट पहले ही बजा दें तो सबको छुट्टी सबको लगेगा छुट्टी हो गई है अच्छा उसने सोचा चुप चाप उसने,1020918,11.94
data\processed\clips\clip_002629.wav,जी हुह हुह,629868,1.86
data\processed\clips\clip_002272.wav,तब हमे लगता है कि अगर पशु रहते है आपके साथ में तो आप थोड़ा सा आपका मन शांत रहता है मैं मतलब एक्सप्लेन कर पा रहा हूं कि जैसे हमने किसी का इंटरव्यू देखा था तो उन्होंने बताया था कि अगर आप.,583544,14.85
data\processed\clips\clip_001608.wav,मान लीजिए जय शंकर प्रसाद ही है इसके अलावा एक लेखक है मतलब एक बहुत अच्छे कवि है लेखक है सरवेश्वर दयाल सक्सेना आपने सुना होगा,282447,14.28
data\processed\clips\clip_001853.wav,जी जी,661767,2.7
data\processed\clips\clip_002033.wav,एक बॉक्स टाइप के था उसमें सारे आह ले करके रख दिए दस बीस मिनट खेले और सारे फैला दिए घर में और फुरसत बस जब तक फैलेंगे नहीं तब तक मतलब ऐसा होता था कि खेला ही नहीं अब फैला है पूरे घर में और छोड़कर भाग जाते थे,269794,14.34
data\processed\clips\clip_004670.wav,"इसके काफी सारे इसके काफी सारे पहलू हैं, चाहे हम शिक्षा की बात करें, जो की सबसे एहम पहलू हैं, उसमें भी हमारा देश जो है काफी ज्यादा उन्नति की ओर अग्रसर है, जैसे की हमारे देश में जो शैक्षणिक संस्थान हैं, आप",840781,13.2
data\processed\clips\clip_004583.wav,हां तो,1020918,1.23
data\processed\clips\clip_002240.wav,"तो इसमें ना थोड़ा सा पैटर्नस भी हम लोग गैलरी वाल्स रहते हैं, मतलब गैलरी वाल्स का मतलब हो गया कि आ ये हमारे फोटोस हमारे फोटोस का वॉलपेपर बनाके के घर में सजा के रखते हैं, और टेक्सचर का वॉलपेपर",630926,12.18
data\processed\clips\clip_000305.wav,नए नए गाने इतने मतलब अच्छे नहीं होता है जो बाराव अभी,522951,4.71
data\processed\clips\clip_000430.wav,सब के यहां खाने का इंतजाम होता है शादी में तैयारियाँ में और हल्दी की तैयारियाँ होती है वैसे उसमें आती है और,350606,13.77
data\processed\clips\clip_001283.wav,"बट सर एक्चुली इस किताब के पीछे है ना बहुत ज़्यादा,आ मतलब म कोई ऐसी कहानी है जिन्होने ने वो सोच समझ के लिखी है, सोचिये और अमीर बनि अमीर बनिये इस किताब का मतलब हिंदी में ये है",615351,13.05
data\processed\clips\clip_003632.wav,तो मुझे दिल से बहुत ज्यादा सुकुन मिलता है वास्तव में बहुत ज्यादा सुकून,583533,3.27
data\processed\clips\clip_001198.wav,हां बोलिए। हूं।,888331,2.07
data\processed\clips\clip_002886.wav,आप छोड़ दीजिए जी जी बिल्कुल,330457,3.3
data\processed\clips\clip_004451.wav,जो आज भी उतनी ही ताज़ा लगती है तो बताईए आपने कोई स्कूल में कोई आपने कोई शरारत की हों कोई मस्ती की हों जो आपको आज भी याद आती है और आज भी आप उसको सोचकर उतना ही खुश होते हैं,1021370,13.77
data\processed\clips\clip_001041.wav,मोबाइल चला लेता हूं और फिर अपना रात के खाने का समय हो जाता है तो खाना खा के थोड़ा एक या डेढ़ घंटे जो कोईकोई मेथ का सवाल हो या कोई भी सब्जेक्ट अपना सवाल उसे हल करने हल कर का लेता हूं या फिर क्लास नहीं हो तो वो लेता हूं फिर मैं सो जाता हूं सर,767685,14.82
data\processed\clips\clip_000167.wav,"जी, जी, जी सबके अपनेअपने चॉइस है जो जैसा पहनना चाहे तो नेक्स्ट हमारा विंदू है कि शर्मनाक फैशन चॉइस पर हसी मजाक करना तो आपने कभी ऐसा किया है",542785,13.59
data\processed\clips\clip_000351.wav,जी बहुत बड़ा किला है वहाँ पर मतलब वहाँ पर एक अखंड दीपक है अखंड जोत है जो आज भी प्रजवलीत है वहाँ पर हाँ हाँ अभी भी प्रजवलीत है पास में ही नर्मदा जी है वहाँ पर,254219,11.49
data\processed\clips\clip_001754.wav,जी जी बिल्कुल महिलाओं के लिए बहुत अच्छी चीज है वुमन सेफ्टी को लेके सभी एक बहुत ही इंपॉर्टेंट टॉपिक हे वुमन सेफ्टी तो है,365059,12.51
data\processed\clips\clip_003813.wav,दूसरे ट्रेन भी ली हु मैं जल्दी आउंगी घर क्यो कि मेरे से गलती से मैने ग़लत ट्रेन ले ली इस वजह से मे देरी हो गयी गई पर हमे अपनी सुविधाओ,400490,14.07
data\processed\clips\clip_000256.wav,नहीं नए गाने सुनते हैं जो जैसे कि ट्रेंड जो कर रहा है जो आया है फिलहाल ना वो सुनके छोड़ देते हैं जिसकी पुराना वाला था जो पसंद आया तो उसको डाउनलोड कर लेंगे नहीं पसंद आया तो छोड़ देंगे,523045,10.74
data\processed\clips\clip_004129.wav,तो ये तो इमिनिस्टेशन में है नहीं रहा,269907,2.4
data\processed\clips\clip_003381.wav,क्या है कि भाई खाने पीने की चीजें देवा दो अगर खाना होगा खायेगा नहीं जो करना होगा वो करेगा वो और पैसे में ये है कि या तो मदद यानी उसको जरूरत होगी तो अपना काम ही करेगा नहीं फालतू कि चीजों में उपयोग करेगा पैसे का,489675,14.55
data\processed\clips\clip_002686.wav,मै बता रहा हूँ ना आपको धर्मसआदा सबसे सस्ती होती है।,443952,6.63
data\processed\clips\clip_003839.wav,हेलो हेलो हेलो,400503,8.1
data\processed\clips\clip_001174.wav,भांग खाते और एक और जो पीते थे वो शिवजी क्या कहते थे उसे,886193,4.83
data\processed\clips\clip_001187.wav,हाँ बिल्कुल हम्म,888331,1.47
data\processed\clips\clip_003553.wav,जी बिल्कुल हम्म शहर में अगर मैं यात्रा करता हूं जब भी पब्लिक ट्रांसपोर्ट लेता हूं मेट्रो हो गई बस हो गई या फिर ऐसे ही पैदल भी अगर कहीं जा रहे हो नजदीक में,661461,13.74
data\processed\clips\clip_003989.wav,नहीं लेकिन इस बारे में ज्यादा ऐप के बारे में जानकारी इस ऐप में नहीं दे सकते तो आपसे बात करें बहुत अच्छा लगा जी धन्यवाद,856801,8.01
data\processed\clips\clip_002899.wav,"जो वहां कॉलीग थे थे पहले से बहा वर्क करते थे, वह बता रहे थे किसी पहले किसी ने ऐसा छोड़ा था तो सर ने उन्हें छोड़ने नहीं दिया या उन्हें बोला मैं लीगल लूंगा तुम्हारे खिलाफ, कि लीगल एक्शन लूंगा ।",330457,12.54
data\processed\clips\clip_002482.wav,सुनाना क्या अच्छा नहीं रहेगा ना,978393,5.4
data\processed\clips\clip_000100.wav,कहते हैं उनको फिर बचा लेते हैं और फिर आ जब वो दोनों नीचे आते हैं तो उनके ऊपर उनका घर का वो जो लकड़ी का कुछ बना था ना ऊपर तो वो उनके ऊपर गिर जाता है हीरोइन के ऊपर गिर जाता है छोटी बहन को,526266,14.55
data\processed\clips\clip_001137.wav,सही बात है तो आपके आपको मतलब ऐसा कौन सा व्यक्ति पसंद है जिससे आप प्रेरित होते हो,886193,6.75
data\processed\clips\clip_003051.wav,जी जी जी जी बिल्कुल बिल्कुल,979497,6.75
data\processed\clips\clip_003318.wav,कभी ऐसा नहीं हुआ है की हां,305308,2.88
data\processed\clips\clip_003577.wav,मैं इस बात का खा हमेशा ध्यान रखता हूं कि मैं वो समोसे खा के आया हूं वहां से क्योंकि बार बार जाना नहीं होता ना दूर इतने दूर एरिया में कभी कभार शहर में रहते हो तो जो नज़दीक के एरिया वहीं जाना होता है,661461,11.7
data\processed\clips\clip_000624.wav,जी बिल्कुल,989901,2.04
data\processed\clips\clip_002075.wav,हाँ।,269383,2.04
data\processed\clips\clip_003575.wav,तिलगुड़ के लड्डू हो गए तो मैं वो हमेशा खरीद कर लाता हूं जब भी मैं वहां क्लीनिक जाता हूं दवाई या वगैरह लेने के लिए तो मैं हमेशा उसको खरीद कर लाता हूं कि एक मेमोरी है यह याद है वहां की,661461,12.24
data\processed\clips\clip_002975.wav,उसके बाद में करोना स्टार्ट हो गया था.,319431,1.89
data\processed\clips\clip_002133.wav,आ एक मिनट,243702,1.29
data\processed\clips\clip_000431.wav,जो शाम को होता है ना वो डीजे का डांडिया रास होता है तो वो शारी तैयारियां होती हैं और,350606,14.58
data\processed\clips\clip_001006.wav,तो आजकल लोग वीडियो वाइरल करने में लगते है या नहीं कि एंबुलेंस को फोन कर दीजिए या अगर वो इंसान थोड़ा ठीक है तो उसकी हेल्प कीजिए नहीं आजकल लोग हेल्प करने से डरते हैं और बल्कि वीडियो बना के वाइरल करना ज़्यादा पसंद करते है,255381,12.78
data\processed\clips\clip_000695.wav,"तो ये देया भाव और एक छमा भाव छ छमा भाव भी बहुत अच्छा भाव है, कि किसीने कोई गलती हो गई, या अपने से गलती हो गई, तो भाई छमा मांग लो, कि भई सौरी, हम से ये गलती हो गई, है ना",990783,14.37
data\processed\clips\clip_000296.wav,हां और,522951,1.83
data\processed\clips\clip_000478.wav,जी मैडम वो बोले तो बोले तो सभी लोग मिल जाते है ना मेले के अंदर,629904,13.02
data\processed\clips\clip_002957.wav,जी अ वही अ जितना आसानी से मतलब सिंपलीसिटी से वो बताते है अ जॉब इतनी ही होगी बस इतना ही है पर उसके बाद में कुछ और ही होता है ।,319431,14.79
data\processed\clips\clip_000415.wav,रिश्तेदार के सादी सादी की तैयारी करना इसमें इस टोपिक मे आप कुछ ज्ञान देंगे हमको,351501,6.78
data\processed\clips\clip_003895.wav,लेकिन फिर भी आप लोग जीत गए,857737,4.44
data\processed\clips\clip_004267.wav,हाँ थिंकिंग तो सबकी अलगअलग ही होती है।,319105,3.99
data\processed\clips\clip_000760.wav,अच्छा,240909,6.87
data\processed\clips\clip_003862.wav,जी मैं तो मान जिए अगर कभी बस भी छूट जाए तो हमें दौड़नी दौड़ना भी सावधानी से दौड़नी चाहिए जिससे हमें चोटें न लग सके और हमें परेशानी का सामना न करना पड़ करना पड़े इसीलिए हम मैं तो मानती हूं कि .,400503,13.95
data\processed\clips\clip_002425.wav,और अभी जैसे तो मैं ऑनलाइन देख रही हूं तो मेरे को ऐसे जगह की दिक्कत नहीं महसूस होती मैं जहा मैं वहीं पे काम कर सकती हूं लेकिन कल को अगर मैं ऑफलाइन गई ऑफिस में या किसी स्कूल में देखूंगी तो मैं फिर वहा की,583991,14.13
data\processed\clips\clip_002392.wav,"हां वैसे तो मैं भी स्टूडेंट ही हूँ, हांजी तो, हांजी तो लेकिन अभी मैं अपने करियर के ऊपर ही काफी हद तक वो",583991,14.79
data\processed\clips\clip_003672.wav,वो बोलते हैं कि तुम रख लो ये कर लो तो मुझे लेना भी अच्छा नहीं लगता किसी से पैसे भी अगर कभी किसी के पैसे भी रहे है ना किसी के पांच रूपये भी रहे ना तो में उसे रिटर्न कर देती हु मतलब ईमानदारी तो कूट कूट कर भरी है मेरे अंदर मुझे ऐसा लगता है आप बताइए आप,798121,14.88
data\processed\clips\clip_004039.wav,सर बाइक से मोहल्ले की सेर करना सर ऐसे सर बाइक से मोहल्ले की सैर करना सर इसके बारे में आप साझा कर सकते हैं,301057,12.45
data\processed\clips\clip_002623.wav,हूं हूं मैन वो टेस्ट आज भी या तो मेरी मम्मी भी नहीं है नानी भी नहीं तो वो वैसा नहीं खाया आजतक तो खाई नहीं पाया आज तक वैसा और मेरी फेवरेट है वैसे कचौड़ियां तो अब मिलती नहीं है तो फेवरेट भी नहीं रहीं याह,629868,14.49
data\processed\clips\clip_000247.wav,"भक्ति गाना मिलेगा तो वह भी पुराना ही वाला सब कहा भी कभी भी होता है सुनने का मन जैसे की,सफर का गाना हो गया मतलब रास्ता में जा रहे हैं।उसका गाना सुन सकते हैं आप,बरसात के मौसम में उसका गाना सुन सकते हैं। कहीं पे शादीविवाह है उसका गाना बजा सकते है।",523045,14.4
data\processed\clips\clip_002423.wav,फूल टाइम में भी नहीं देखती और दूसरा मनी देखती हूं और तीसरा मैं देखती हूं क्यों सिर्फ वह कंपनी कितनी अच्छे कि उसका एक्सपीडियन्स कहीं पे मेरे को काम आए,583991,9.99
data\processed\clips\clip_003674.wav,हां हां,798121,1.05
data\processed\clips\clip_002766.wav,अच्छा जी बिल्कुल सही जगह है ना,302506,3.21
data\processed\clips\clip_002544.wav,और खास चीज वो यह है कि मतलब एक तरह से घूमने करने के लिए वी यह है मतलब यहां पे ऐसी पहाड़ वाली जगह बहुत हैं हमारे यहां तो घूमने फिरने के लिए ह्म्म,978484,9.18
data\processed\clips\clip_001012.wav,"जी, जी, जी।",255381,11.64
data\processed\clips\clip_002526.wav,अच्छा अच्छा काम है ऐसे मेरे को तो हां मैं भी जैसे चलिए आपने बताया वैसे मै भी बिल्कुल बताऊंगा वैसे तो इसमें पर्सनल जानकारी नहीं देनी है,978484,10.5
data\processed\clips\clip_004094.wav,जो अच्छी लगे स्नैक्स में वही हम यूज़ कर सकते हैं और भी कुछ हैं जैसे कोल्ड ड्रिन्क्स हैं और सॉफ्ट ड्रिंक्स हैं या,366972,10.17
data\processed\clips\clip_000593.wav,मुझे भगवान ने दिया है तो मैं आगे बढ़ा रहा हूँ बस भगवान से मैं उमीद यही दुआ रहती है हमेशा कि आप मुझे दो मैं आगे सहल्प लोगों की जरूरत जरूरत मन्द लोगों की जरूरत पूरा करूँ,989901,14.58
data\processed\clips\clip_004360.wav,एस एस सर एस सर,754618,3.75
data\processed\clips\clip_001105.wav,जी तो मै बताना चाहूंगा कि जैसे मैं पहले मन से पढ़ता नहीं था पहले मुझे पढ़ाने के लिए जैसे कि अ मम्मी पापा फोर्स करते थे बेटा पढ़ पढ़ पढ़ और तब मै पढ़ता था पढ़ने बैठता था बट अब ऐसा हो गया है कि अपना मन से जैसे,767869,14.85
data\processed\clips\clip_001058.wav,जी बिल्कुल सही क्योंकि हम में क्या है अपनी जिम्मेदारियों का अहसास होने लगता है तो शायद लगता है हमे सर कि अपनी दिनचर्या में जो है व्यर्थ की चीजों को त्याग कर जो काम की चीज़े हैं उन्हें अपनाना चाहिए बिल्कुल सर,767685,13.62
data\processed\clips\clip_000896.wav,मेरी तो बस दो बार थी पहले जॉब की और एक बार स्कूल मे बस,475356,5.1
data\processed\clips\clip_000283.wav,हां,522951,3.57
data\processed\clips\clip_000293.wav,क्या बोला आपने आवाज नाय नहीं आई.,522951,5.01
data\processed\clips\clip_004558.wav,हां जी हां,1020918,9.75
data\processed\clips\clip_004329.wav,हां विषय हो सकता है जो हम मतलब हमारा अ कॉलेज का जो मतल स्ट्डीज है उसके बारे में भी मतलब हो सकता है और फिर,319126,12.45
data\processed\clips\clip_004664.wav,हूँ,840793,1.62
data\processed\clips\clip_001684.wav,बट ऐसा लग रहा है हमें कनेक्ट होना चाहिए शायद पर्सनल डिटेल्स देकर अपनी कर सकते हैं नहीं होना चाहिए न,270291,7.32
data\processed\clips\clip_002000.wav,हूं हूं हूं।,350347,8.88
data\processed\clips\clip_003609.wav,"जी जी जी, जी, जी जी, बिल्कुल मतलब वह अगर अंक लाने की खुशी ही मतलब एसी थी कि आज का मतलब अगर कोई आईफ़ोन वगैरा भी ले ले ना, वह खुशी उसको नहीं होगी जो अब वो अंक प्राप्त होने की होती थी खुशी।",583533,13.47
data\processed\clips\clip_001952.wav,हां क्योंकि वही मुझे पसंद है बाकी तो तो ऑलमोस्ट चीजे देख रखी है तो इतना इंटरेस्ट नहीं है जो प्रायोरिटीज पे है मेरा वही है भी वह भी मतलब ऐसा वर्ल्ड कप,350297,14.13
data\processed\clips\clip_004057.wav,सर वही तो हाल मेरा भी है अब अबी तो अब बट ज्यादा तो जानकारी नहीं है जी सर जी सर आपसे बात करने के लिए धन्यवाद आपसे मिलकर बहुत खुशी हुई,301057,14.97
data\processed\clips\clip_001601.wav,जी नही स्वामी विवेकानंद तो अपने आप मे जी प्रेरणादायक है,282447,14.82
data\processed\clips\clip_004469.wav,"तो उनमें से ही एक मस्ती मैं आपको बताना चाहूँगा कि हमारा मतलब आप बोल सकते हो कि टीचर से छत्तीस का आकड़ा रहता था तो काफी सारे टीचर से हमारा मतलब कान खिचाई, हाथ पे डंडा पड़ना फिर कभी मुर्गा बना देना तो ये सारी चीज़े होती थीं",1021370,15.0
data\processed\clips\clip_002177.wav,जी बचपन में तो सबसे पहले कोई भी बच्चा अपने मातापिता को देखता है कि हमें भी बड़े होके उनके जैसा बनना है जैसे वो अपने जीवन में सफल है तो हमें भी उनकी तरह बनना है।,537983,14.76
data\processed\clips\clip_003394.wav,हां हां बिल्कुल बिल्कुल बिल्कुल सही बात है,489638,7.8
