Reference Transcript,Model Output,WER (%),Severity,Error Category,Reasoning (Cause of Error)
और आके फिर मोबाइल चलाने लगेंगे टीवी देखने लगेंगे रोने लगेंगे नहीं तो फिर बाहर नहीं जाना ऐसा बोलते है आजकल बच्चों में ज्यादा बाहर जाना भी पसंद नहीं करते मेरे हिसाब से तो,"पर आपके फिर मोबाइल चारने लगेंगे, टीवी देखे लगेंगे, रोने लगेंगे, नहीं थोड़ा बाहर नहीं जाना ऐसा बोलते हैं। आज कि बच्चों ज्यादा बाहर जाना भी पसंद नहीं करते हैं मेरे हिस्वाब से तो।",47.06,moderate,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
"नहीं अभी फिर से कम बैक हो गया है हनी सिंह का पहले था, हूँ हूँ।",हु हु नहीं अभी फिर से कमबैक हो गया हनी सिंह का पहले था हु हु,50.0,moderate,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
बिलकुल अह मेरे अकॉर्डिंग तो जैसे हम अह दो हजार यहां पंच ताली की कर रहे है बात तो,बिल्कुल आह मेरेकॉर्डिंट तो जैसे हम दो हजार है यहां पंचताली की कर रहे हैं बात तो,47.37,moderate,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
केदारेश्वर महादेव मंदिर है एक,केदा रेश्वर महादेव मंदिर है का,60.0,moderate,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
आ रही है अब आवाज,आ रही है भावाज,40.0,mild,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
तो हम मतलब इतना बड़ा कांड कर भी दिए और हम सब बच भी गए और सबका मूड भी अच्छा हो गया और मतलब मज़ा भी आ गया तो वो काफी यादगार दिन था हमारी जिंदगी का,तो हम मतलब इतना बड़ा कांड कर भी दिए और हम सब बच भी गए और सब का मूड भी अच्छा हो गया और मतलब मजा भी आ गया तो वो काफी यादग दिन था हमारी दिन दगी का,16.22,mild,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
पूरी आवाज आपकी बस आवाज आ रही है इतना ही सुना था उसके बाद आप जो बोल रहे है वो आवाज नहीं आ रही है,पूरी आवाज आपकी बस आवाज आ रही है नहीं सुनाता उसके बाद आप जो बोल रहे हैं वो आवाज नहीं आ रही है,20.0,mild,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
"तो मान लीजिए उन लोगों को बहुत ही बुरा लगेगा और उन लोगों का मन भी नाराज हो जाएगा, हाँ की नहीं तो ये सब भी लड़कियां पहले से ही प्लानिंग बना कर रखते हैं कि भाईया के शादी में ये वो करना है, अगर नहीं कराएं घरवाले उनसे.",तो मान लीजिए उन लोगों को बहुत ऊतुरा लगेगा और उन लोगों का मन भी नाराज हो जाएगा हा कि नहीं तो ये सब भी लड़कियां पहले से प्लानिंग बलाकर रखते हैं कि भाईया के शादी में ये वो करना है अगर नहीं कराए घरवाले उनसे,22.45,mild,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
बात करेंगे म जो भी समस्याएं होती है उनको हल करेंगे तो अगर हमारा कोई भी सपना पूर्ण होता है तो हमें बहुत ज्यादा खुशी मिलती है,पॉरेंगे जो भी समझस्याई होती है उनको हलक रहेंगे तो अगर हमारा कोई भी सपना फून होता है तो हमें बहुत ज़्यादा कुशि मिलती है,33.33,mild,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
क्या पारवल मैं सिग्नल देखो मेरा क्या कोई कर लेता है तैसे में मोज मस्ती में सब लोग सिग्नल तोड़ देते हैं सिग्नल को,क्या पारगल हूं मैं सिंग्लल पारगल दो देखो मेरा क्या कोई कर लेता है ऐसे में मोज मस्ती में सब लोग सिंग्ल तोड़ देते हैं सिंग्ल को इस,37.5,mild,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
और आप मानेंगे नहीं कि मुझे बचपन से ही जूतों का काफी शौक था तो मैं चाहता था कि उन जूतों को मैं पहनूं तो मेरा एक मतलब मैंने काफी उस चीज के लिए मेहनत किया क्योंकि मुझे था कि चलो अगर मैं फर्स्ट आ जाऊंगा,और आप मानेंगे नहीं कि मुझे बचपन से ही जूतों का काफी शौक था तो मैं चाहता था कि उन जूतों को मैं पहनूं तो मेरा मतलब मैंने काफी उस चीज के लिए मेहनत किया क्योंकि मुझे था कि चलो अगर मैं फर्स्ट आ जाऊंगा,2.17,minor,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
कॉलेज में भी होता हैं अगर आप क्लास में अगर जाओगे लेट से तो पांच मतलब दस मिनट अगर आप लेट हो तो ठीक है अगर आप उसके बाद जाओगे तो बो मतलब मतलब अलॉय ही नहीं मतलब मत करेंगे आपको,कॉलेज में भी होता है अगर आप क्लास में अगर जाओगे लेट से तो पांच मतलब दस मिनट अगर आप लेट हो तो ठीक है अगर आप उसके बाद जाओगे तो वो मतलब मतलब अलाव ही नहीं मतलब करेंगे आपको,9.76,minor,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
अगला है अगर आपका कोई एक विशाल सपना कल ही सच हो जाए तो आप कौन सा चुनेंगे और क्यों तो आप बताइए इसके बारे में कुछ,अगला है अगर आपका कोई एक विशाल सपना कल हिस्सच हो जाए तो आप कौन सा चुनेंगे और क्यों तो आप बताइए इसके बारे में कुछ,7.41,minor,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
लगा कि मुझे ऐसा नहीं करना चाहिए में देर से नहीं अब जल्दी निकलने की कोशिश करूं जिससे मुझे चलती ट्रेन में ना चलना पड़े पड़े कभी भी,लगा कि मुझे ऐसा नहीं करना चाहिए मैं देर से नहीं अब जल्दी से निकलने की कोशिश करूं जिससे मुझे चलती ट्रेन में ना चलना पड़े पड़े कभी भी,7.14,minor,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
हां हां हां हां जब लगे तुम्हें की जेनुइन लग रहा है ये व्यक्ति तो उसकी हेल्प करनी चाहिए है ना दूसरा टॉपिक पढ़ेंगे आप,हां हां हां हां जब लगेग तुम्हें की जेन्यून लग रहा है ये व्यक्ति तो उसकी हेल्प करनी चाहिए है ना दूसरा टॉपिक पढ़ेंगे आप,8.0,minor,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
