reference,raw_asr,asr_number_normalized,number_norm_reasoning,asr_english_tagged,english_detection_reasoning,asr_full_pipeline,wer_raw,wer_num_norm,wer_num_delta,wer_impact_reasoning
"अच्छा तो,जी",अच्छा तो जी,अच्छा तो जी,No number words — no normalization needed.,अच्छा तो जी,No English words detected — utterance is pure Hindi.,अच्छा तो जी,100.0,100.0,0.0,No WER change — no number words present in this utterance.
जी बिल्कुल,जी बिल्कु,जी बिल्कु,No number words — no normalization needed.,जी बिल्कु,No English words detected — utterance is pure Hindi.,जी बिल्कु,50.0,50.0,0.0,No WER change — no number words present in this utterance.
अच्छा जी तो काफी अच्छी बात है,अच्छ यी तो काखे अची वाटे,अच्छ यी तो काखे अची वाटे,No number words — no normalization needed.,अच्छ यी तो काखे अची वाटे,No English words detected — utterance is pure Hindi.,अच्छ यी तो काखे अची वाटे,85.71,85.71,0.0,No WER change — no number words present in this utterance.
हुन,भी अगर बाँदा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वाद,भी अगर बाँदा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वाद,No number words — no normalization needed.,भी अगर बाँदा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वाद,No English words detected — utterance is pure Hindi.,भी अगर बाँदा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वादा वाद,3800.0,3800.0,0.0,No WER change — no number words present in this utterance.
हु हु मुझे भी ऐसा होता है कभीकभी खास करके जब मैं मेट्रो या पब्लिक बस में ट्रैवल करता हूं,"अग, मुझे भी आज़्ा होता है कभी कभी कभी कजास कर के जब में मेट्रो या पबलिक बस में ताओल करता हूँ","अग, मुझे भी आज़्ा होता है कभी कभी कभी कजास कर के जब में मेट्रो या पबलिक बस में ताओल करता हूँ",No number words — no normalization needed.,"अग, मुझे भी आज़्ा होता है कभी कभी कभी कजास कर के जब में मेट्रो या पबलिक [EN]बस[/EN] में ताओल करता हूँ","'बस' tagged [EN] — English word spoken in conversation, transcribed in Devanagari per guidelines. Correct spelling, needs special handling in downstream tasks (TTS/translation/NER).","अग, मुझे भी आज़्ा होता है कभी कभी कभी कजास कर के जब में मेट्रो या पबलिक [EN]बस[/EN] में ताओल करता हूँ",65.0,65.0,0.0,No WER change — no number words present in this utterance.
इसके अलावा अ थिंक एंड ग्रो रिच एक अ थिंक एंड ग्रो रिच एक किताब है रिच डेड पूअर डेड एक किताब है तो ये सेल्फ हेल्प बुक है.,अगर आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,अगर आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,No number words — no normalization needed.,अगर आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,No English words detected — utterance is pure Hindi.,अगर आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,193.1,193.1,0.0,No WER change — no number words present in this utterance.
कि अगर मेरे पापा यह करते थे तो मैं भी यह कर सकता हूं ना तो मैं फिर हार नहीं मानता,अगर मेरे बपा ये करते दे तो मैं भी ये कर सकता हूना तो मैं फिर हार नी मानता,अगर मेरे बपा ये करते दे तो मैं भी ये कर सकता हूना तो मैं फिर हार नी मानता,No number words — no normalization needed.,अगर मेरे बपा ये करते दे तो मैं भी ये कर सकता हूना तो मैं फिर हार नी मानता,No English words detected — utterance is pure Hindi.,अगर मेरे बपा ये करते दे तो मैं भी ये कर सकता हूना तो मैं फिर हार नी मानता,38.1,38.1,0.0,No WER change — no number words present in this utterance.
हु हु हु।,विज़ा अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अ,विज़ा अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अ,No number words — no normalization needed.,विज़ा अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अ,No English words detected — utterance is pure Hindi.,विज़ा अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अ,1500.0,1500.0,0.0,No WER change — no number words present in this utterance.
हां तो सर लास्ट है कि अ आप चाहते हैं कि अ त्योहारों की संस्कृति आने वाली पीढ़ियों के लिए किसी तरह बदले या विकसित हों क्या सर आप चाहते हैं,अप चाहते हैं कि तेवहारु कि संसक्रिदी आने बा़ी प्युडियों किलिक किसी तरे बधले अविक्सित हों क्या सर अप चाहते हैं,अप चाहते हैं कि तेवहारु कि संसक्रिदी आने बा़ी प्युडियों किलिक किसी तरे बधले अविक्सित हों क्या सर अप चाहते हैं,No number words — no normalization needed.,अप चाहते हैं कि तेवहारु कि संसक्रिदी आने बा़ी प्युडियों किलिक किसी तरे बधले अविक्सित हों क्या सर अप चाहते हैं,No English words detected — utterance is pure Hindi.,अप चाहते हैं कि तेवहारु कि संसक्रिदी आने बा़ी प्युडियों किलिक किसी तरे बधले अविक्सित हों क्या सर अप चाहते हैं,67.74,67.74,0.0,No WER change — no number words present in this utterance.
सभी लोग नए नए फ्रेंड्स वगैरह मिल जाते हैं ना मेले के अंदर बाते वगैरह हो जाते हैं ना,तबिलोग ने-ने प्रेंच वेगर ना मिल जातें मेलेक अंदर बाते वेगर उजातें ना,तबिलोग ने-ने प्रेंच वेगर ना मिल जातें मेलेक अंदर बाते वेगर उजातें ना,No number words — no normalization needed.,तबिलोग ने-ने प्रेंच वेगर ना मिल जातें मेलेक अंदर बाते वेगर उजातें ना,No English words detected — utterance is pure Hindi.,तबिलोग ने-ने प्रेंच वेगर ना मिल जातें मेलेक अंदर बाते वेगर उजातें ना,78.95,78.95,0.0,No WER change — no number words present in this utterance.
हा एस हा स्टार्टिंग मे तो परिवार वाले सब साथ रहते हैं तो इसी तौर पे जाएंगे सब साथ जाते हैं तो कमरा तो मिल जाएगा क्योंकि सब साथ रहते है ना जब पहला दिन होता है तो सब साथ जाते हैं,अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा �,अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा �,No number words — no normalization needed.,अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा �,No English words detected — utterance is pure Hindi.,अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा अज़ा �,100.0,100.0,0.0,No WER change — no number words present in this utterance.
उनकी एक किताब है दरू उनकी एक किताब है दरू डेस्क बुक एवर वो आत्म सहायता के लिए एक बहुत अच्छी बुक है,उनकी एक किताब है दरुदस बुकेवर के अद्म साहिता के लिए एक बहुत अच्छी बुक है,उनकी 1 किताब है दरुदस बुकेवर के अद्म साहिता के लिए 1 बहुत अच्छी बुक है,CONVERTED: 'एक' → 1 (simple) | 'एक' → 1 (simple). Hindi number words converted to digits.,उनकी एक किताब है दरुदस बुकेवर के अद्म साहिता के लिए एक बहुत अच्छी बुक है,No English words detected — utterance is pure Hindi.,उनकी 1 किताब है दरुदस बुकेवर के अद्म साहिता के लिए 1 बहुत अच्छी बुक है,52.17,60.87,-8.699999999999996,NORMALIZATION HURT: WER worsened by 8.7%. Reference uses Hindi number words — converting to digits caused format mismatch. Shows normalization is not always beneficial.
हां जी बहुत सारी चीजों के लिए जानकारी मिल जाती है हमें इन पर,अगी वोज सर जीजो के लिए जानकारी मिल जाती है हमें अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अप,अगी वोज सर जीजो के लिए जानकारी मिल जाती है हमें अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अप,No number words — no normalization needed.,अगी वोज सर जीजो के लिए जानकारी मिल जाती है हमें अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अप,No English words detected — utterance is pure Hindi.,अगी वोज सर जीजो के लिए जानकारी मिल जाती है हमें अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अप,250.0,250.0,0.0,No WER change — no number words present in this utterance.
जी जी वही सेम मतलब मेरा भी कहना है कि मेरा भी थोड़ा इस तरीके का है कि जल्दी मुझे लोगों पे विश्वास नहीं होता कि अगर मैं उसे कोई प्रॉब्लम अगर बता रही हूँ तो उसका बाद में गलत फायदा ना उठाए नहीं उठाएगा,ज़़दी मुछ लोगो पे भिश्वास नहोता कि अगर मुछ प्रोड़म अगर बतारियों तो उसका बाद में गलत फैदर नहीं उठाएगा ज़दी मुछ लोगो पे भिश्वास नहोता कि अगर मुछ प्रोड़म अगर बतारियों तो उसका बाद में गलत फैदर नहीं उठा,ज़़दी मुछ लोगो पे भिश्वास नहोता कि अगर मुछ प्रोड़म अगर बतारियों तो उसका बाद में गलत फैदर नहीं उठाएगा ज़दी मुछ लोगो पे भिश्वास नहोता कि अगर मुछ प्रोड़म अगर बतारियों तो उसका बाद में गलत फैदर नहीं उठा,No number words — no normalization needed.,ज़़दी मुछ लोगो पे भिश्वास नहोता कि अगर मुछ प्रोड़म अगर बतारियों तो उसका बाद में गलत फैदर नहीं उठाएगा ज़दी मुछ लोगो पे भिश्वास नहोता कि अगर मुछ प्रोड़म अगर बतारियों तो उसका बाद में गलत फैदर नहीं उठा,No English words detected — utterance is pure Hindi.,ज़़दी मुछ लोगो पे भिश्वास नहोता कि अगर मुछ प्रोड़म अगर बतारियों तो उसका बाद में गलत फैदर नहीं उठाएगा ज़दी मुछ लोगो पे भिश्वास नहोता कि अगर मुछ प्रोड़म अगर बतारियों तो उसका बाद में गलत फैदर नहीं उठा,82.22,82.22,0.0,No WER change — no number words present in this utterance.
"हा जैसे अब मुझे तो इतना एक्सपीरियंस नहीं है लता जी के गाने का , क्योंकि मे भी कही ना कही आज की जनरेशन का हु। लेकिन मुझे मुझे ये रैप वगैरह इतने पसंद नही आते ।",अगर तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो �,अगर तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो �,No number words — no normalization needed.,अगर तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो �,No English words detected — utterance is pure Hindi.,अगर तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो �,200.0,200.0,0.0,No WER change — no number words present in this utterance.
मै तो कभी नहीं गई मतलब मंदिर आप गए हैं,अप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया �,अप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया �,No number words — no normalization needed.,अप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया �,No English words detected — utterance is pure Hindi.,अप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया आप गया �,560.0,560.0,0.0,No WER change — no number words present in this utterance.
जी ऐसे भी हम हर किसी से आप कंफर्टेबल नहीं होते देखा जाए तो ऐसे बहुत कम फ्रेंड्स होते है जिनसे ज्यादा हम कंफर्टेबल रहते है कुछ भी बात भी शेयर करनी है तो हम कर सकते है बिना किसी रोक के,अपने लोग़ा देखाए तो आपने लोग़ा देखाए तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपन,अपने लोग़ा देखाए तो आपने लोग़ा देखाए तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपन,No number words — no normalization needed.,अपने लोग़ा देखाए तो आपने लोग़ा देखाए तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपन,No English words detected — utterance is pure Hindi.,अपने लोग़ा देखाए तो आपने लोग़ा देखाए तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपने लोग़ा तो आपन,95.24,95.24,0.0,No WER change — no number words present in this utterance.
जो मैं नहीं सेहन कर पा रही उस पे ही मुझे रोना आ जाएगा ऐसे न जल्दी मुझे रोना भी नहीं आता है और इसी वजहें से बहुत ही कम दिन ऐसे आते हैं जिसमें मतलब मुझे ऐसा रोना वगैरा कुछ आए क्योंकि मेरा व्यक्तित्व कुछ इस तरीके का है,अगर बच्टी तो कुछ इस तरीके का है,अगर बच्टी तो कुछ इस तरीके का है,No number words — no normalization needed.,अगर बच्टी तो कुछ इस तरीके का है,No English words detected — utterance is pure Hindi.,अगर बच्टी तो कुछ इस तरीके का है,90.0,90.0,0.0,No WER change — no number words present in this utterance.
जी हां मैं पंखे के सामने बैठी हूं ना इसलिए पर आपकी फिर भी नहीं आ रही है।,जी जी बबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबब�,जी जी बबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबब�,No number words — no normalization needed.,जी जी बबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबब�,No English words detected — utterance is pure Hindi.,जी जी बबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबबब�,94.44,94.44,0.0,No WER change — no number words present in this utterance.
